UNIX time;ISO time;temperature min;temperature avg;temperature max;pressure min;pressure avg;pressure max;humidity min;humidity avg;humidity max
1504432800;2017-09-03T13:00:00.000Z;17.017;17.074;17.135;1006.103;1006.217;1006.33;57.682;57.817;57.88
1504436400;2017-09-03T14:00:00.000Z;17.135;17.226;17.328;1006.128;1006.33;1006.51;57.591;57.66;57.735
1504440000;2017-09-03T15:00:00.000Z;17.318;17.402;17.575;1006.188;1006.385;1006.525;57.27;57.573;57.728
1504443600;2017-09-03T16:00:00.000Z;17.564;17.913;18.262;1005.73;1006.005;1006.425;56.179;56.675;57.27
1504447200;2017-09-03T17:00:00.000Z;18.24;18.598;19.066;1005.685;1005.888;1006.12;54.836;55.615;56.24
1504450800;2017-09-03T18:00:00.000Z;19.066;19.453;20.01;1005.878;1006.074;1006.225;53.501;54.358;55.035
1504454400;2017-09-03T19:00:00.000Z;19.785;20.102;20.278;1005.985;1006.259;1006.633;53.143;53.567;54.462
1504458000;2017-09-03T20:00:00.000Z;19.162;19.455;19.785;1006.493;1006.742;1007.07;54.432;55.289;56.011
1504461600;2017-09-03T21:00:00.000Z;18.712;18.934;19.162;1006.955;1007.158;1007.308;55.981;56.777;57.377
1504465200;2017-09-03T22:00:00.000Z;18.433;18.577;18.723;1007.13;1007.318;1007.52;57.323;57.46;57.56
1504468800;2017-09-03T23:00:00.000Z;18.186;18.299;18.433;1007.435;1007.818;1008.05;57.468;57.557;57.621
1504472400;2017-09-04T00:00:00.000Z;18.004;18.1;18.197;1007.998;1008.27;1008.473;57.453;57.523;57.568
1504476000;2017-09-04T01:00:00.000Z;17.715;17.869;18.004;1008.365;1008.74;1008.995;57.377;57.439;57.484
1504479600;2017-09-04T02:00:00.000Z;17.414;17.571;17.725;1008.5;1008.736;1009.048;57.385;57.436;57.468
1504483200;2017-09-04T03:00:00.000Z;17.103;17.262;17.425;1008.65;1008.857;1009.08;57.415;57.458;57.507
1504486800;2017-09-04T04:00:00.000Z;16.814;16.963;17.103;1008.613;1008.826;1009.188;57.453;57.486;57.514
1504490400;2017-09-04T05:00:00.000Z;16.524;16.677;16.824;1008.46;1008.661;1008.988;57.43;57.466;57.514
1504494000;2017-09-04T06:00:00.000Z;16.245;16.377;16.524;1008.445;1008.604;1008.76;57.438;57.482;57.507
1504497600;2017-09-04T07:00:00.000Z;16.02;16.13;16.256;1008.528;1008.784;1009.08;57.446;57.477;57.507
1504501200;2017-09-04T08:00:00.000Z;15.87;15.945;16.031;1008.96;1009.118;1009.358;57.339;57.407;57.453
1504504800;2017-09-04T09:00:00.000Z;15.827;15.85;15.881;1008.973;1009.113;1009.283;56.995;57.244;57.369
1504508400;2017-09-04T10:00:00.000Z;15.87;15.937;15.999;1008.873;1009.046;1009.35;56.591;56.814;57.026
1504512000;2017-09-04T11:00:00.000Z;15.988;16.035;16.084;1009.035;1009.28;1009.58;56.248;56.561;56.736
1504515600;2017-09-04T12:00:00.000Z;16.084;16.221;16.331;1009.16;1009.43;1009.763;56.248;56.341;56.416
1504519200;2017-09-04T13:00:00.000Z;16.331;16.419;16.503;1009.543;1009.702;1009.903;56.065;56.219;56.324
1504522800;2017-09-04T14:00:00.000Z;16.492;16.558;16.653;1009.723;1009.886;1010.093;55.95;56.045;56.095
1504526400;2017-09-04T15:00:00.000Z;16.653;16.858;17.178;1009.753;1009.94;1010.128;55.18;55.729;56.004
1504530000;2017-09-04T16:00:00.000Z;17.178;17.491;17.811;1009.698;1009.843;1010.003;54.363;54.855;55.21
1504533600;2017-09-04T17:00:00.000Z;17.811;18.175;18.498;1009.488;1009.683;1009.94;53.646;54.007;54.394
1504537200;2017-09-04T18:00:00.000Z;18.487;18.905;19.398;1009.258;1009.538;1009.76;52.464;53.129;53.677
1504540800;2017-09-04T19:00:00.000Z;19.216;19.524;19.72;1009.273;1009.455;1009.77;52.105;52.556;53.478
1504544400;2017-09-04T20:00:00.000Z;18.551;18.852;19.227;1009.67;1009.973;1010.288;53.448;54.316;55.195
1504548000;2017-09-04T21:00:00.000Z;18.154;18.353;18.562;1010.193;1010.434;1010.54;55.141;55.691;56.072
1504551600;2017-09-04T22:00:00.000Z;17.886;18.013;18.165;1010.408;1010.716;1010.865;55.935;56.166;56.309
1504555200;2017-09-04T23:00:00.000Z;17.661;17.758;17.886;1010.778;1010.98;1011.248;56.255;56.379;56.454
1504558800;2017-09-05T00:00:00.000Z;17.479;17.556;17.661;1011.045;1011.195;1011.388;56.385;56.449;56.522
1504562400;2017-09-05T01:00:00.000Z;17.253;17.371;17.489;1011.253;1011.424;1011.585;56.385;56.436;56.5
1504566000;2017-09-05T02:00:00.000Z;17.007;17.116;17.264;1011.388;1011.528;1011.663;56.446;56.519;56.591
1504569600;2017-09-05T03:00:00.000Z;16.749;16.88;17.007;1011.42;1011.548;1011.698;56.538;56.617;56.683
1504573200;2017-09-05T04:00:00.000Z;16.481;16.628;16.76;1011.553;1011.665;1011.765;56.629;56.68;56.782
1504576800;2017-09-05T05:00:00.000Z;16.235;16.36;16.481;1011.355;1011.518;1011.665;56.728;56.812;56.873
1504580400;2017-09-05T06:00:00.000Z;15.966;16.097;16.235;1011.233;1011.349;1011.478;56.85;56.909;56.965
1504584000;2017-09-05T07:00:00.000Z;15.709;15.837;15.977;1011.373;1011.644;1011.983;56.889;56.949;56.973
1504587600;2017-09-05T08:00:00.000Z;15.612;15.646;15.72;1011.885;1012.027;1012.175;56.751;56.903;56.973
1504591200;2017-09-05T09:00:00.000Z;15.602;15.645;15.752;1011.74;1011.861;1012.015;56.522;56.777;57.148
1504594800;2017-09-05T10:00:00.000Z;15.752;15.902;16.063;1011.733;1011.903;1012.01;56.973;57.143;57.285
1504598400;2017-09-05T11:00:00.000Z;16.052;16.139;16.235;1011.868;1012.01;1012.188;56.561;56.869;57.133
1504602000;2017-09-05T12:00:00.000Z;16.235;16.312;16.449;1011.818;1011.921;1012.065;56.072;56.393;56.561
1504605600;2017-09-05T13:00:00.000Z;16.428;16.489;16.599;1011.735;1011.882;1012.04;55.866;56.066;56.21
1504609200;2017-09-05T14:00:00.000Z;16.567;16.627;16.696;1011.585;1011.764;1011.898;55.775;55.854;55.95
1504612800;2017-09-05T15:00:00.000Z;16.696;16.944;17.286;1011.168;1011.405;1011.76;54.928;55.451;55.805
1504616400;2017-09-05T16:00:00.000Z;17.103;17.345;17.554;1010.913;1011.129;1011.425;54.577;55.048;55.531
1504620000;2017-09-05T17:00:00.000Z;17.468;17.718;17.875;1010.728;1010.844;1011.07;54.478;54.794;55.149
1504623600;2017-09-05T18:00:00.000Z;17.704;17.86;18.058;1010.8;1010.922;1011.045;54.295;54.755;55.225
1504627200;2017-09-05T19:00:00.000Z;17.65;17.735;17.875;1010.745;1010.877;1011.095;54.905;55.188;55.515
1504630800;2017-09-05T20:00:00.000Z;17.607;17.67;17.811;1010.593;1010.716;1010.85;55.08;55.655;56.057
1504634400;2017-09-05T21:00:00.000Z;17.339;17.485;17.629;1010.59;1010.728;1010.838;55.943;56.163;56.385
1504638000;2017-09-05T22:00:00.000Z;17.017;17.195;17.339;1010.523;1010.706;1010.863;56.332;56.51;56.652
1504641600;2017-09-05T23:00:00.000Z;16.706;16.882;17.028;1010.495;1010.568;1010.668;56.622;56.671;56.721
1504645200;2017-09-06T00:00:00.000Z;16.353;16.535;16.717;1010.238;1010.428;1010.638;56.667;56.718;56.782
1504648800;2017-09-06T01:00:00.000Z;16.031;16.195;16.353;1010.218;1010.393;1010.518;56.652;56.709;56.782
1504652400;2017-09-06T02:00:00.000Z;15.677;15.853;16.031;1009.688;1010.02;1010.28;56.576;56.632;56.683
1504656000;2017-09-06T03:00:00.000Z;15.312;15.496;15.688;1009.245;1009.526;1009.78;56.438;56.524;56.606
1504659600;2017-09-06T04:00:00.000Z;14.969;15.142;15.323;1008.698;1008.989;1009.293;56.339;56.418;56.5
1504663200;2017-09-06T05:00:00.000Z;14.604;14.793;14.969;1007.968;1008.375;1008.78;56.232;56.316;56.37
1504666800;2017-09-06T06:00:00.000Z;14.24;14.422;14.615;1007.593;1007.803;1008.045;56.187;56.247;56.316
1504670400;2017-09-06T07:00:00.000Z;13.918;14.1;14.24;1007.473;1007.579;1007.68;56.133;56.168;56.217
1504674000;2017-09-06T08:00:00.000Z;13.682;13.79;13.929;1007.263;1007.477;1007.638;56.057;56.093;56.133
1504677600;2017-09-06T09:00:00.000Z;13.628;13.667;13.757;1006.945;1007.202;1007.36;56.004;56.176;56.423
1504681200;2017-09-06T10:00:00.000Z;13.746;13.918;14.122;1006.42;1006.694;1007.005;56.057;56.225;56.4
1504684800;2017-09-06T11:00:00.000Z;14.122;14.316;14.508;1006.095;1006.384;1006.518;56.133;56.251;56.385
1504688400;2017-09-06T12:00:00.000Z;14.497;14.724;14.948;1005.485;1005.873;1006.195;55.996;56.135;56.294
1504692000;2017-09-06T13:00:00.000Z;14.937;15.023;15.162;1004.873;1005.268;1005.57;55.737;55.93;56.11
1504695600;2017-09-06T14:00:00.000Z;15.151;15.284;15.409;1004.025;1004.479;1004.935;55.553;55.643;55.759
1504699200;2017-09-06T15:00:00.000Z;15.398;15.572;15.838;1003.238;1003.747;1004.095;55.203;55.545;55.759
1504702800;2017-09-06T16:00:00.000Z;15.752;15.826;16.084;1002.973;1003.156;1003.385;55.08;55.593;55.691
1504706400;2017-09-06T17:00:00.000Z;15.966;16.024;16.117;1002.328;1002.657;1003.028;54.852;55.514;55.737
1504710000;2017-09-06T18:00:00.000Z;16.063;16.133;16.213;1001.753;1002.02;1002.388;55.363;55.535;55.622
1504713600;2017-09-06T19:00:00.000Z;16.181;16.217;16.256;1001.468;1001.674;1001.815;55.271;55.349;55.416
1504717200;2017-09-06T20:00:00.000Z;16.063;16.147;16.235;1001.335;1001.427;1001.525;55.302;55.504;55.706
1504720800;2017-09-06T21:00:00.000Z;15.891;15.983;16.074;1001.105;1001.279;1001.463;55.706;55.873;56.026
1504724400;2017-09-06T22:00:00.000Z;15.752;15.829;15.902;1000.858;1001.068;1001.26;55.996;56.091;56.171
1504728000;2017-09-06T23:00:00.000Z;15.612;15.688;15.763;1000.24;1000.548;1000.923;56.149;56.203;56.286
1504731600;2017-09-07T00:00:00.000Z;15.452;15.541;15.623;999.775;1000.089;1000.338;56.24;56.324;56.469
1504735200;2017-09-07T01:00:00.000Z;15.248;15.351;15.452;999.318;999.566;999.855;56.438;56.528;56.644
1504738800;2017-09-07T02:00:00.000Z;15.033;15.143;15.248;998.735;999.076;999.4;56.591;56.654;56.705
1504742400;2017-09-07T03:00:00.000Z;14.872;14.956;15.033;998.185;998.438;998.805;56.629;56.67;56.705
1504746000;2017-09-07T04:00:00.000Z;14.712;14.795;14.883;997.558;997.905;998.258;56.606;56.648;56.683
1504749600;2017-09-07T05:00:00.000Z;14.594;14.649;14.712;997.043;997.361;997.625;56.576;56.619;56.66
1504753200;2017-09-07T06:00:00.000Z;14.476;14.537;14.594;996.588;996.809;997.103;56.553;56.595;56.637
1504756800;2017-09-07T07:00:00.000Z;14.39;14.435;14.486;996.368;996.518;996.693;56.438;56.588;56.69
1504760400;2017-09-07T08:00:00.000Z;14.347;14.371;14.401;996.168;996.306;996.49;56.355;56.469;56.583
1504764000;2017-09-07T09:00:00.000Z;14.325;14.342;14.358;995.928;996.16;996.315;56.21;56.326;56.408
1504767600;2017-09-07T10:00:00.000Z;14.315;14.342;14.39;995.41;995.722;995.985;56.011;56.162;56.294
1504771200;2017-09-07T11:00:00.000Z;14.379;14.427;14.476;994.903;995.205;995.47;55.752;55.891;56.072
1504774800;2017-09-07T12:00:00.000Z;14.454;14.497;14.561;994.473;994.726;994.978;55.637;55.743;55.897
1504778400;2017-09-07T13:00:00.000Z;14.551;14.572;14.583;994.148;994.29;994.533;55.614;55.688;55.782
1504782000;2017-09-07T14:00:00.000Z;14.572;14.58;14.604;993.87;994.038;994.245;55.752;55.886;56.065
1504785600;2017-09-07T15:00:00.000Z;14.594;14.61;14.626;993.468;993.719;993.953;55.95;56.092;56.263
1504789200;2017-09-07T16:00:00.000Z;14.626;14.658;14.701;992.953;993.242;993.548;56.179;56.265;56.377
1504792800;2017-09-07T17:00:00.000Z;14.669;14.69;14.712;992.705;992.871;993.018;56.232;56.369;56.492
1504796400;2017-09-07T18:00:00.000Z;14.658;14.683;14.712;992.43;992.593;992.793;56.431;56.636;56.805
1504800000;2017-09-07T19:00:00.000Z;14.626;14.65;14.669;992.235;992.427;992.555;56.744;56.827;56.919
1504803600;2017-09-07T20:00:00.000Z;14.561;14.601;14.636;991.62;992.002;992.295;56.858;56.976;57.087
1504807200;2017-09-07T21:00:00.000Z;14.508;14.537;14.572;991.363;991.556;991.685;57.003;57.15;57.285
1504810800;2017-09-07T22:00:00.000Z;14.411;14.462;14.508;990.98;991.242;991.443;57.262;57.359;57.491
1504814400;2017-09-07T23:00:00.000Z;14.336;14.38;14.422;990.755;990.904;991.05;57.407;57.509;57.606
1504818000;2017-09-08T00:00:00.000Z;14.25;14.282;14.336;990.208;990.492;990.833;57.545;57.631;57.72
1504821600;2017-09-08T01:00:00.000Z;14.24;14.242;14.25;990.033;990.138;990.31;57.667;57.752;57.804
1504825200;2017-09-08T02:00:00.000Z;14.154;14.205;14.24;989.575;989.839;990.108;57.751;57.857;57.98
1504828800;2017-09-08T03:00:00.000Z;14.047;14.103;14.154;989.1;989.342;989.635;57.865;57.931;58.01
1504832400;2017-09-08T04:00:00.000Z;13.982;14.017;14.057;988.808;988.97;989.183;57.865;57.938;58.033
1504836000;2017-09-08T05:00:00.000Z;13.907;13.943;13.982;988.623;988.761;988.923;57.865;57.97;58.064
1504839600;2017-09-08T06:00:00.000Z;13.832;13.87;13.907;988.313;988.495;988.685;57.934;58.049;58.132
1504843200;2017-09-08T07:00:00.000Z;13.768;13.8;13.832;988.093;988.216;988.373;58.041;58.151;58.27
1504846800;2017-09-08T08:00:00.000Z;13.714;13.745;13.778;988.15;988.299;988.438;58.102;58.208;58.3
1504850400;2017-09-08T09:00:00.000Z;13.682;13.704;13.736;988.333;988.402;988.475;58.018;58.161;58.3
1504854000;2017-09-08T10:00:00.000Z;13.693;13.698;13.714;988.328;988.396;988.49;57.987;58.06;58.163
1504857600;2017-09-08T11:00:00.000Z;13.693;13.721;13.746;988.383;988.489;988.615;57.873;58.021;58.132
1504861200;2017-09-08T12:00:00.000Z;13.725;13.737;13.768;988.54;988.644;988.755;57.789;57.945;58.071
1504864800;2017-09-08T13:00:00.000Z;13.746;13.805;13.843;988.61;988.775;988.918;57.423;57.62;57.842
1504868400;2017-09-08T14:00:00.000Z;13.832;13.924;14.025;988.868;989.018;989.14;57.133;57.283;57.529
1504872000;2017-09-08T15:00:00.000Z;14.014;14.119;14.24;989.05;989.223;989.365;56.988;57.16;57.301
1504875600;2017-09-08T16:00:00.000Z;14.24;14.248;14.293;989.275;989.465;989.683;57.011;57.144;57.323
1504879200;2017-09-08T17:00:00.000Z;14.261;14.359;14.443;989.56;989.699;989.818;56.919;57.071;57.232
1504882800;2017-09-08T18:00:00.000Z;14.443;14.473;14.497;989.683;989.775;989.903;56.973;57.173;57.377
1504886400;2017-09-08T19:00:00.000Z;14.486;14.528;14.583;989.82;989.917;990.025;57.064;57.237;57.346
1504890000;2017-09-08T20:00:00.000Z;14.476;14.551;14.594;989.723;989.861;990.035;56.919;57.128;57.377
1504893600;2017-09-08T21:00:00.000Z;14.39;14.423;14.476;989.738;989.863;990;57.377;57.631;57.827
1504897200;2017-09-08T22:00:00.000Z;14.325;14.362;14.401;989.948;990.026;990.125;57.804;57.898;57.972
1504900800;2017-09-08T23:00:00.000Z;14.25;14.28;14.336;989.875;989.973;990.068;57.941;58.049;58.17
1504904400;2017-09-09T00:00:00.000Z;14.24;14.243;14.25;989.965;990.112;990.298;58.086;58.19;58.262
1504908000;2017-09-09T01:00:00.000Z;14.175;14.225;14.24;990.213;990.351;990.453;58.178;58.252;58.346
1504911600;2017-09-09T02:00:00.000Z;14.079;14.137;14.186;990.215;990.402;990.553;58.292;58.368;58.491
1504915200;2017-09-09T03:00:00.000Z;14.004;14.045;14.09;990.183;990.343;990.498;58.46;58.529;58.605
1504918800;2017-09-09T04:00:00.000Z;13.918;13.962;14.014;990.108;990.25;990.373;58.552;58.634;58.72
1504922400;2017-09-09T05:00:00.000Z;13.843;13.887;13.929;989.925;990.065;990.195;58.582;58.663;58.75
1504926000;2017-09-09T06:00:00.000Z;13.778;13.82;13.854;989.758;989.905;990.028;58.468;58.58;58.666
1504929600;2017-09-09T07:00:00.000Z;13.714;13.749;13.789;989.538;989.664;989.845;58.437;58.561;58.666
1504933200;2017-09-09T08:00:00.000Z;13.671;13.695;13.725;989.363;989.529;989.65;58.414;58.478;58.613
1504936800;2017-09-09T09:00:00.000Z;13.65;13.666;13.682;989.285;989.401;989.493;58.132;58.323;58.468
1504940400;2017-09-09T10:00:00.000Z;13.628;13.647;13.661;989.203;989.342;989.415;57.819;57.989;58.216
1504944000;2017-09-09T11:00:00.000Z;13.628;13.638;13.65;989.193;989.308;989.43;57.758;57.849;57.957
1504947600;2017-09-09T12:00:00.000Z;13.628;13.648;13.682;989.15;989.226;989.315;57.652;57.779;57.873
1504951200;2017-09-09T13:00:00.000Z;13.671;13.7;13.736;989.04;989.188;989.315;57.537;57.594;57.674
1504954800;2017-09-09T14:00:00.000Z;13.736;13.802;13.864;989.19;989.312;989.428;57.423;57.49;57.591
1504958400;2017-09-09T15:00:00.000Z;13.854;13.904;13.929;989.305;989.441;989.615;57.354;57.428;57.499
1504962000;2017-09-09T16:00:00.000Z;13.929;13.981;14.036;989.51;989.724;989.993;57.301;57.386;57.468
1504965600;2017-09-09T17:00:00.000Z;14.025;14.079;14.175;989.94;990.085;990.298;57.415;57.538;57.72
1504969200;2017-09-09T18:00:00.000Z;14.165;14.224;14.25;990.17;990.384;990.763;57.636;57.742;57.888
1504972800;2017-09-09T19:00:00.000Z;14.25;14.284;14.336;990.575;990.71;990.885;57.774;57.895;57.972
1504976400;2017-09-09T20:00:00.000Z;14.325;14.372;14.401;990.698;990.822;990.938;57.919;58;58.117
1504980000;2017-09-09T21:00:00.000Z;14.39;14.43;14.465;990.863;991.095;991.26;57.941;58.072;58.254
1504983600;2017-09-09T22:00:00.000Z;14.454;14.487;14.519;991.163;991.246;991.36;58.002;58.107;58.254
1504987200;2017-09-09T23:00:00.000Z;14.508;14.539;14.572;991.08;991.228;991.4;58.056;58.128;58.224
1504990800;2017-09-10T00:00:00.000Z;14.561;14.591;14.615;991.075;991.163;991.233;58.056;58.161;58.338
1504994400;2017-09-10T01:00:00.000Z;14.615;14.639;14.658;990.835;991.067;991.238;58.109;58.284;58.453
1504998000;2017-09-10T02:00:00.000Z;14.658;14.676;14.701;990.65;990.754;990.923;58.14;58.286;58.369
1505001600;2017-09-10T03:00:00.000Z;14.69;14.724;14.744;990.653;990.77;990.893;58.254;58.42;58.537
1505005200;2017-09-10T04:00:00.000Z;14.744;14.761;14.787;990.32;990.551;990.763;58.308;58.456;58.567
1505008800;2017-09-10T05:00:00.000Z;14.765;14.796;14.819;990.06;990.381;990.628;58.361;58.499;58.62
1505012400;2017-09-10T06:00:00.000Z;14.787;14.816;14.84;989.933;990.109;990.22;58.338;58.59;58.819
1505016000;2017-09-10T07:00:00.000Z;14.83;14.852;14.872;988.975;989.606;990.02;58.567;58.696;58.849
1505019600;2017-09-10T08:00:00.000Z;14.862;14.88;14.915;988.743;989.047;989.353;58.506;58.708;58.987
1505023200;2017-09-10T09:00:00.000Z;14.905;14.934;14.958;988.98;989.314;989.548;58.788;58.955;59.216
1505026800;2017-09-10T10:00:00.000Z;14.948;14.988;15.023;989.14;989.479;989.773;58.842;59.077;59.383
1505030400;2017-09-10T11:00:00.000Z;15.012;15.045;15.076;989.51;989.686;989.935;59.071;59.292;59.528
1505034000;2017-09-10T12:00:00.000Z;15.055;15.1;15.151;989.818;989.941;990.123;58.987;59.181;59.414
1505037600;2017-09-10T13:00:00.000Z;15.151;15.229;15.323;989.758;989.915;990.108;58.811;59.018;59.208
1505041200;2017-09-10T14:00:00.000Z;15.323;15.395;15.505;989.815;990.054;990.19;58.857;59.056;59.261
1505044800;2017-09-10T15:00:00.000Z;15.494;15.59;15.688;990.045;990.16;990.345;58.834;59.228;59.483
1505048400;2017-09-10T16:00:00.000Z;15.677;15.735;15.795;990.045;990.23;990.36;59.315;59.526;59.711
1505052000;2017-09-10T17:00:00.000Z;15.784;15.814;15.87;990.26;990.413;990.535;59.597;59.834;59.963
1505055600;2017-09-10T18:00:00.000Z;15.859;15.897;15.934;990.375;990.46;990.555;59.795;59.858;59.94
1505059200;2017-09-10T19:00:00.000Z;15.913;15.932;15.956;990.418;990.518;990.638;59.826;59.997;60.108
